S. No.,Code,Name ,Type
462,5910,"P S N A Colllege of Engineering and Technology, Dindigul District624622",PRIVATE COLLEGES
463,5911,"P T R College of Engineering and Technology, Austinpatty Post,Madurai District 625008",PRIVATE COLLEGES
464,5912,"Pandian Saraswathi Yadav Engineering College, Thirumansolai Post,Sivagangai District 630 561",PRIVATE COLLEGES
465,5913,"R V S College of Engineering, N Paraipatti Post, Dindigul District624005",PRIVATE COLLEGES
466,5914,"SOLAMALAI COLLEGE OF ENGINEERIG, Veerapanjan, MaduraiDistrict 625020",PRIVATE COLLEGES
467,5915,"SACS-M A V M M Engineering College, Kidaripatty Post, MaduraiDistrict 625001",PRIVATE COLLEGES
468,5919,"St. Michael College of Engineering and Technology, Kalayarkoil,Sivagangai District 630551",PRIVATE COLLEGES
469,5921,"Syed Ammal Engineering College, Achuthan Vayal Post,Ramanathapuram District 623502",PRIVATE COLLEGES
470,5924,"Ganapathy Chettiar College of Engineering and Technology,Melakavanur Post, Paramakudi, Ramanathapuram District 623706",PRIVATE COLLEGES
471,5930,"SBM College of Engineering and Technology, Thamaraipady, T NParaipatti Pirivu, Dindigul District 624005",PRIVATE COLLEGES
472,5935,"Fatima Michael College of Engineering & Technology, SengottaiVillage, Sivagangai Main Road, Madurai District 625020",PRIVATE COLLEGES
473,5942,"Ultra College of Engineering and Technology, Kodikulam, 1 BitVillage, Madurai-Chennai Highway, Madurai District 625104",PRIVATE COLLEGES
474,5986,"Velammal College of Engineering and Technology, Madurai District625009",PRIVATE COLLEGES
475,5988,"Theni Kammavar Sangam College of Technology, Theni Main Road,Koduvillarpatti Post, Theni District 625534",PRIVATE COLLEGES
476,5990,"Latha Mathavan Engineering College, Kidaripatti Post, Alagarkoil(Via), Melur Taluk, Madurai District 625301",PRIVATE COLLEGES
