S. No.,Code,Name ,Type
104,1307,"Jerusalem College of Engineering (Autonomous), Narayanapuram,Pallikaranai, Chennai 600 100",PRIVATE COLLEGES
105,1308,"Measi Academy of Architecture, Royapettah, Chennai 600014",PRIVATE COLLEGES
106,1309,"Meenakshi Sundararajan Engineering College, Kodambakkam,Chennai 600024",PRIVATE COLLEGES
107,1310,"Misrimal Navajee Munoth Jain Engineering College, Rajiv GandhiSalai (OMR), Thorappakkam, Chennai 600096",PRIVATE COLLEGES
108,1311,"K C G College of Technology, Karappakkam, Chennai 600096",PRIVATE COLLEGES
109,1313,"Shree Motilal Kanhaiyalal (SMK)Fomra Institute of Technology, OldMahabalipuram Road (OMR), Kelambakkam, Chengalpattu District603103",PRIVATE COLLEGES
110,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous),Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District603110",PRIVATE COLLEGES
111,1316,"Agni College of Technology, Old Mahabalipuram Road (OMR),Thalambur Village, Chengalpattu District 603103",PRIVATE COLLEGES
112,1317,"St. Joseph’s College of Engineering, Old Mahabalipuram Road(OMR), Chennai 600 119",PRIVATE COLLEGES
113,1318,"T.J INSTITUTE OF TECHNOLOGY, KARAPAKKAM CH-97",PRIVATE COLLEGES
114,1319,"Thangavelu Engineering College, Karappakkam, Chennai 600097",PRIVATE COLLEGES
115,1322,"Dhanalakshmi Srinivasan College of Engineering and Technology,East Coast Road, Poonjeri, Chennai 603104",PRIVATE COLLEGES
116,1324,"Sri Sai Ram Institute of Technology (Autonomous), West Tambaram,Chennai 600044",PRIVATE COLLEGES
117,1325,"St. Joseph College of Engineering, Trinity Campus, Nemili,Sriperumpudur Taluk, Kancheepuram District 602105",PRIVATE COLLEGES
118,1333,"Vi Institute of Technology, Sirunkundram Village & Post,Chengalpattu District 603108",PRIVATE COLLEGES
119,1335,"Sri Krishna Institute of Technology, Panapakkam, Padappai, Chennai601301",PRIVATE COLLEGES
120,1399,"Chennai Institute of Technology, Puduper Village, NandambakkamPost, Kundrathur, Chennai 600069",PRIVATE COLLEGES
121,1400,"Mohamed Sathak A J Academy of Architecture, OldMahabalipuram Road (OMR), Kancheepuram District 603103",PRIVATE COLLEGES
122,1401,"Adhiparasakthi Engineering College, Melmaruvathur, ChengalpattuDistrict 603319",PRIVATE COLLEGES
123,1402,"Annai Terasa College of Engineering, Thirunavalur, KallakkurichiDistrict 607204",PRIVATE COLLEGES
124,1405,"Dhanalakshmi College of Engineering, Manimangalam, Chennai601301",PRIVATE COLLEGES
125,1407,"G K M College of Engineering and Technology, Alappakkam-Mappedu Road, Chennai 600063",PRIVATE COLLEGES
126,1408,"I F E T College of Engineering (Autonomous), Gangarampalayam,Villupuram District 605108",PRIVATE COLLEGES
127,1409,"Karpagavinayaga College of Engineering and Technology, PalayanoorPost, Maduranthagam Taluk, Chengalpattu District 603308",PRIVATE COLLEGES
128,1411,"Madha Engineering College, Kundrathur, Chennai 600069",PRIVATE COLLEGES
129,1412,"Mailam Engineering College, Mailam, Villupuram District 604304",PRIVATE COLLEGES
130,1413,"Sri Venkateswaraa College of Technology, Sirukulathur, VadakkalVillage, Pondur Post, Sriperumbudur Taluk, Kancheepuram District602105",PRIVATE COLLEGES
131,1414,"Prince Shri Venkateshwara Padmavathy Enginering College,Ponmar, Chennai 600048",PRIVATE COLLEGES
132,1415,"T S M Jain College of Technology, Melur Village, Kallakurichi District606201",PRIVATE COLLEGES
133,1416,"Jaya Sakthi Engineering College, Thirunindravur, Chennai 602024",PRIVATE COLLEGES
134,1419,"Sri Sairam Enginering College (Autonomous), West Tambaram,Chennai 600044",PRIVATE COLLEGES
135,1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post,Chennai 600048",PRIVATE COLLEGES
136,1421,"V R S College of Engineering and Technology, Arasur, VillupuramDistrict 607107",PRIVATE COLLEGES
137,1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur,Chennai 603203",PRIVATE COLLEGES
138,1423,"Asan Memorial College of Engineering andTechnology,Chengalpattu-603 001.",PRIVATE COLLEGES
139,1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301",PRIVATE COLLEGES
140,1426,"Sri Ramanujar Engineering College, Vandalur, Kolappakkam, Chennai600048",PRIVATE COLLEGES
141,1427,"Sri Krishna Engineering College, Panappakkam, Padappai, Chennai601301",PRIVATE COLLEGES
142,1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem,Kallakurichi District 606201",PRIVATE COLLEGES
143,1431,"New Prince Shri Bhavani College of Engineering and Technology,Vengaivasal Main Road, Gowriwakkam, Chennai 600073",PRIVATE COLLEGES
144,1432,"Rajalakshmi Institute of Technology, Irulapalayam, KuthampakkamPost, Kancheepuram District 602107",PRIVATE COLLEGES
145,1434,"Surya Group of Institutions, GST Road, Vikravandi Village, VillupuramDistrict 605652",PRIVATE COLLEGES
146,1435,"Jagannath Institute of Technology, Thandalam Village, Thiruporur,Kancheepuram District 603110",PRIVATE COLLEGES
